UniProt_A	GeneSymbol_A	UniProt_B	GeneSymbol_B	Databases	PubMed_IDs	Undirected	Direction_A-B	Direction_B-A	Stimulatory_A-B	Inhibitory_A-B	Stimulatory_B-A	Inhibitory_B-A	Category
P48678	Lmna	Q8R3L8	Cdk8	MIMP				MIMP					PPI
P48678	Lmna	P24399	Znf239	HPRD;BioGRID	12409453	HPRD;BioGRID							PPI
P48678	Lmna	O08579	Emd	HPRD;BioGRID	12755701;12670476;11173535;10673356;17620012;22412018;24927568;25948554	HPRD;BioGRID							PPI
P48678	Lmna	Q60972	Rbbp4	BioGRID	19734887;25948554	BioGRID							PPI
P48678	Lmna	Q8BWD8	Cdk19	MIMP				MIMP					PPI
P48678	Lmna	Q9JHU3	Cdk20	MIMP				MIMP					PPI
P48678	Lmna	Q04735	Cdk16	MIMP				MIMP					PPI
P48678	Lmna	Q14AX6	Cdk12	MIMP				MIMP					PPI
P48678	Lmna	P14733	Lmnb1	HPRD;BioGRID;IntAct	11792809;21346760;19727227;22412018;21988832;24623722;25948554;26524528	HPRD;BioGRID;IntAct							PPI
P48678	Lmna	Q3UMM4	Cdk10	MIMP				MIMP					PPI
P48678	Lmna	Q69ZA1	Cdk13	MIMP				MIMP					PPI
P48678	Lmna	Q8K0D0	Cdk17	MIMP				MIMP					PPI
P48678	Lmna	Q5FW52	Mlip	BioGRID;IntAct	21498514	BioGRID;IntAct							PPI
P48678	Lmna	Q61029	Tmpo	HPRD;BioGRID;IntAct	12475961;10984438;19727227;22412018;24927568;26496610;24623722;16247757	HPRD;BioGRID;IntAct							PPI
P48678	Lmna	Q04899	Cdk18	MIMP				MIMP					PPI
P48678	Lmna	Q9CYQ7	Narf	HPRD;BioGRID	10514485	HPRD;BioGRID							PPI
P48678	Lmna	Q6ZWR6	Syne1	HPRD;BioGRID	11801724;12163176	HPRD;BioGRID							PPI
P48678	Lmna	Q6DVA0	Lemd2	IntAct	16339967	IntAct							PPI
P48678	Lmna	Q61033	Tmpo	HPRD;BioGRID;IntAct	12475961;10984438;19727227;22412018;24927568;26496610;24623722;16247757	HPRD;BioGRID;IntAct							PPI
P48678	Lmna	P84228	Hist1h3b	IntAct	20580717	IntAct							PPI
Q9D4H8	Cul2	O54918	Bcl2l11	BioGRID	19622774;18420585	BioGRID	ACSN						PPI
Q9D4H8	Cul2	Q61221	Hif1a	BioGRID;SignaLink3;InnateDB	17439941;17132228;19940151;23401859;18323857	BioGRID;InnateDB	ACSN	SignaLink3					PPI
Q9D4H8	Cul2	P29595	Nedd8	HPRD;BioGRID;SPIKE;InnateDB	15688063;11696557;16503656;21145461;16620772	HPRD;BioGRID;InnateDB		SPIKE			SPIKE		PPI
Q9D4H8	Cul2	P83940	Eloc	HPRD;BioGRID;IntAct;MPPI	11384984;17183367;15966899;19339690;9447969;21145461;9122164;10449727;15601820;24076655;26735018	HPRD;BioGRID;IntAct;MPPI	ACSN						PPI
Q9QZ11	Exo1	Q9JK91	Mlh1	HPRD;BioGRID;SPIKE	18157157;16189514;12042306;12529393;11901110;11481425;17602897;11427529;19015241;17148452;21533173;14676842;22222486;11429708;23435383	HPRD;BioGRID;SPIKE							PPI
Q9QZ11	Exo1	P43247	Msh2	HPRD;BioGRID;SPIKE	18157157;16189514;10835383;9826691;9207118;17720936;17602897;10856833;9788596;11427529;19015241;22222486;14676842;11429708	HPRD;BioGRID;SPIKE							PPI
Q9QZ11	Exo1	O88700	Blm	DIP;IntAct	18971343	DIP;IntAct		ACSN					PPI
Q9QZ11	Exo1	Q6P7W0	Senp6	BioGRID	26083678	BioGRID							PPI
P70380	Il18	P70677	Casp3	HPRD;InnateDB;SignaLink3	9334240	HPRD;InnateDB		SignaLink3					PPI
P70380	Il18	Q61096	Prtn3	InnateDB;SignaLink3	22270365	InnateDB		SignaLink3					PPI
P70380	Il18	Q9Z2B1	Il18rap	HPRD	9792649	HPRD	KEGG		KEGG				PPI
P70380	Il18	Q9Z0M9	Il18bp	HPRD;InnateDB;SignaLink3	18203261;11907126;12381835;11278524;10655506;10023777;10094485	HPRD;InnateDB	SignaLink3						PPI
P70380	Il18	Q61098	Il18r1	SignaLink3;HPRD;InnateDB;Signor;IntAct	12096920;9792649;9325300;25261253	HPRD;InnateDB;IntAct	SignaLink3;Signor		Signor				PPI
P42703	Lifr	Q61831	Mapk10	MIMP				MIMP					PPI
P42703	Lifr	P63085	Mapk1	PhosphoNetworks;HPRD-phos;phosphoELM;MIMP;HPRD;Signor;PhosphoPoint	7777512	HPRD		PhosphoNetworks;HPRD-phos;phosphoELM;MIMP;Signor;PhosphoPoint				Signor	PPI
P42703	Lifr	O35718	Socs3	SPIKE	17312100			SPIKE				SPIKE	PPI
P42703	Lifr	Q9WTU6	Mapk9	MIMP				MIMP					PPI
P42703	Lifr	Q63844	Mapk3	PhosphoNetworks;phosphoELM;MIMP;PhosphoSite;Signor	7777512;18624908;22306348;28122243			PhosphoNetworks;PhosphoSite_dir;phosphoELM;MIMP;PhosphoSite;Signor				Signor	PPI
P42703	Lifr	Q00560	Il6st	HPRD;BioGRID;Signor	24710148;12047380;8999038	HPRD;BioGRID	Signor		Signor				PPI
P42703	Lifr	Q9WVS8	Mapk7	MIMP				MIMP					PPI
P42703	Lifr	Q60753	Ctf1	HPRD;Signor	11834704	HPRD		Signor			Signor		PPI
P42703	Lifr	O88507	Cntfr	HPRD;BioGRID	12707266;11943154;11285233	HPRD;BioGRID							PPI
P42703	Lifr	Q80Y86	Mapk15	MIMP				MIMP					PPI
P42703	Lifr	P53347	Osm	HPRD;DIP;Signor;IntAct	1536831;8999038;16051226;1542794	HPRD;DIP;IntAct		Signor			Signor		PPI
P42703	Lifr	Q6P5G0	Mapk4	MIMP				MIMP					PPI
P42703	Lifr	P51642	Cntf	HPRD;DIP;Signor;IntAct	10966616;10207005;16051226;18775332;12643274	HPRD;DIP;IntAct		Signor			Signor		PPI
Q9Z0F8	Adam17	P47811	Mapk14	MIMP				MIMP					PPI
Q9Z0F8	Adam17	Q61527	Erbb4	HPRD;PhosphoPoint	15534001	HPRD		PhosphoPoint					PPI
Q9Z0F8	Adam17	P06804	Tnf	HPRD;HPRD-phos;Signor	9034190;12135369;10799478	HPRD	HPRD-phos;Signor		Signor				PPI
Q9Z0F8	Adam17	P63085	Mapk1	BioGRID;SignaLink3;InnateDB	12058067	BioGRID;InnateDB	SignaLink3						PPI
Q9Z0F8	Adam17	P20444	Prkca	PhosphoSite;MIMP	21570469;18722532;12058067;18187448;20188673;21586567;23955714;26806653			PhosphoSite_dir;ACSN;MIMP;PhosphoSite					PPI
Q9Z0F8	Adam17	P09055	Itgb1	IntAct	22413019	IntAct							PPI
Q9Z0F8	Adam17	P27931	Il1r2	InnateDB;SignaLink3	24790088	InnateDB	SignaLink3						PPI
Q9Z0F8	Adam17	Q63844	Mapk3	PhosphoNetworks;phosphoELM;SignaLink3;MIMP;InnateDB;Signor	12058067	InnateDB		PhosphoNetworks;phosphoELM;SignaLink3;MIMP;Signor			Signor		PPI
Q9Z0F8	Adam17	O89090	Sp1	SPIKE	19772640			SPIKE			SPIKE		PPI
Q9Z0F8	Adam17	P28867	Prkcd	MIMP				MIMP;ACSN					PPI
Q9Z0F8	Adam17	Q01705	Notch1	HPRD;HPRD-phos;SignaLink3;Signor	10882063;9620803	HPRD	HPRD-phos;SignaLink3;KEGG;ACSN;Signor		SignaLink3;KEGG;Signor				PPI
Q9Z0F8	Adam17	Q9QXX0	Jag1	IntAct	23375636	IntAct							PPI
Q9Z0F8	Adam17	Q811D0	Dlg1	HPRD;BioGRID;IntAct	12668732;18930083	HPRD;BioGRID;IntAct							PPI
Q9Z0F8	Adam17	O70433	Fhl2	HPRD	16619241	HPRD							PPI
Q9Z0F8	Adam17	A2ALK8	Ptpn3	HPRD;PDZBase;IntAct	12207026	HPRD;IntAct		PDZBase					PPI
Q8R316	Hbp1	P47811	Mapk14	PhosphoSite;Signor;MIMP	14612426			PhosphoSite_dir;PhosphoSite;MIMP;Signor			Signor		PPI
Q8R316	Hbp1	Q9WUI1	Mapk11	PhosphoNetworks;phosphoELM;Signor;MIMP	14612426			PhosphoNetworks;phosphoELM;MIMP;Signor			Signor		PPI
Q8R316	Hbp1	Q60722	Tcf4	HPRD	11500377	HPRD							PPI
P26928	Mst1	Q99MK9	Rassf1	SPIKE	21199877;14729613	SPIKE		KEGG			KEGG		PPI
P26928	Mst1	P26262	Klkb1	HPRD	10068459	HPRD							PPI
P26928	Mst1	Q9JI11	Stk4	Signor;MIMP	11805089		Signor;MIMP		Signor				PPI
P26928	Mst1	Q64524	Hist2h2be	SPIKE	18675384		SPIKE			SPIKE			PPI
P26928	Mst1	Q62190	Mst1r	SignaLink3;HPRD;DIP;Signor;IntAct;PhosphoPoint	12764615;8062829;9374547;25193665;22087277;9045873	HPRD;DIP;IntAct	SignaLink3;Signor	PhosphoPoint	SignaLink3;Signor				PPI
P26928	Mst1	Q64475	Hist1h2bb	Signor;MIMP	21212262		Signor;MIMP		Signor				PPI
P26928	Mst1	P07759	Serpina3k	HPRD	11274154	HPRD							PPI
P26928	Mst1	Q8VHK8	Tmprss11d	IntAct	22245154	IntAct							PPI
P26928	Mst1	P29621	Serpina3c	HPRD	11274154	HPRD							PPI
P26928	Mst1	Q03734	Serpina3m	HPRD	11274154	HPRD							PPI
P97357	Taf1a	O89090	Sp1	SPIKE	18809386			SPIKE			SPIKE		PPI
Q9R190	Mta2	Q9Z2D8	Mbd3	HPRD;BioGRID;SPIKE	12124384;12354758;10444591;20362541;18454139;15920471;11297506;19703393;22939629;26344197	HPRD;BioGRID;SPIKE	ACSN						PPI
Q9R190	Mta2	P70288	Hdac2	BioGRID	12920132;12493763;10444591;19686092;18454139;15920471;11297506;11102443;19703393;20714342;22939629;21258344;23752268;26344197	BioGRID		ACSN					PPI
Q9R190	Mta2	Q6PDQ2	Chd4	BioGRID	12920132;20362541;15920471;9790534;19703393;21670149;22939629;25247294;26344197	BioGRID	ACSN						PPI
Q9R190	Mta2	Q9Z2E1	Mbd2	BioGRID	10444591;11297506;11102443;26344197	BioGRID	ACSN						PPI
Q9R190	Mta2	Q60972	Rbbp4	HPRD;BioGRID	12920132;10444591;19686092;11602581;11297506;19703393;14645126;21670149;22939629;26344197;28179136	HPRD;BioGRID	ACSN						PPI
Q9R190	Mta2	Q8CHY6	Gatad2a	BioGRID	22939629;26344197;28514442	BioGRID		ACSN					PPI
Q9R190	Mta2	Q60973	Rbbp7	HPRD;BioGRID;IntAct	12920132;10444591;18454139;15920471;11297506;19703393;14645126;20714342;22939629;26186194;28514442;28179136	HPRD;BioGRID;IntAct	ACSN						PPI
Q04690	Nf1	Q61411	Hras	HPRD;InnateDB;SPIKE;SignaLink3	19718661;8628317	HPRD;InnateDB	SPIKE;KEGG	SignaLink3	SPIKE	KEGG			PPI
Q04690	Nf1	P20444	Prkca	PhosphoSite	26490262			PhosphoSite_dir;PhosphoSite					PPI
Q04690	Nf1	Q60953	Pml	IntAct	22293200	IntAct							PPI
Q04690	Nf1	Q99JY1	Tirap	InnateDB;SignaLink3	21903422	InnateDB		SignaLink3					PPI
Q04690	Nf1	P43407	Sdc2	HPRD;IntAct	11356864	HPRD;IntAct							PPI
Q04690	Nf1	P62340	Tbpl1	HPRD	15767669	HPRD							PPI
Q04690	Nf1	Q3TDN2	Faf2	BioGRID	20160012;26186194	BioGRID							PPI
Q04690	Nf1	Q9QYI3	Dnajc7	HPRD	8836031	HPRD							PPI
Q9WTK5	Nfkb2	Q3ULA2	Btrc	SignaLink3;HPRD;BioGRID;InnateDB;IntAct	16303288;11994270;18617892;15140882;14676825;22388891;25900982;14743216	HPRD;BioGRID;InnateDB;IntAct	SignaLink3						PPI
Q9WTK5	Nfkb2	Q9R0T8	Ikbke	InnateDB;Macrophage	17003035	InnateDB		Macrophage					PPI
Q9WTK5	Nfkb2	P97313	Prkdc	IntAct;PhosphoPoint	14743216	IntAct		PhosphoPoint					PPI
Q9WTK5	Nfkb2	P02340	Tp53	Signor	16990795			Signor			Signor		PPI
Q9WTK5	Nfkb2	Q9WV60	Gsk3b	PhosphoSite;MIMP;PhosphoSite_noref	20513428;22864569			PhosphoSite_dir;PhosphoSite;PhosphoSite_noref;MIMP					PPI
Q9WTK5	Nfkb2	Q07174	Map3k8	CancerCellMap;HPRD;BioGRID;IntAct;PhosphoPoint	14743216;25852190	HPRD;BioGRID;IntAct;CancerCellMap		PhosphoPoint					PPI
Q9WTK5	Nfkb2	Q04863	Relb	SignaLink3;CancerCellMap;HPRD;BioGRID;Macrophage;Signor;InnateDB;IntAct	16108830;19098713;17254973;15371334;17072323;16285893;15145317;16970925;9681829;12709443;15218526;16793322;17072322;17561400;14743216;14678988;22388891;22864569;28514442;11687592;16551621;7925301;12927781;17548614;17962807;12505990	CancerCellMap;HPRD;BioGRID;Macrophage;InnateDB;IntAct	SignaLink3;Signor	SignaLink3	SignaLink3;Signor				PPI
Q9WTK5	Nfkb2	Q9WUL6	Map3k14	PhosphoNetworks;phosphoELM;PhosphoSite_noref;BioGRID;PhosphoSite;InnateDB;Signor;PhosphoPoint;SignaLink3;CancerCellMap;HPRD;MIMP;IntAct	15994789;11239468;22388891;18617892;17563756;14743216	CancerCellMap;HPRD;BioGRID;InnateDB;IntAct	SignaLink3	PhosphoNetworks;phosphoELM;PhosphoSite_noref;PhosphoSite;Signor;PhosphoPoint;PhosphoSite_dir;SignaLink3;MIMP			SignaLink3;Signor		PPI
Q9WTK5	Nfkb2	Q9Z2F6	Bcl3	SignaLink3;InnateDB;HPRD;BioGRID;SPIKE;Macrophage;Signor	17183360;25089799;15371334;17072322;15465827;14668329;16513645;9405619;17349209;10453354;8453667;10362352;16713561;14678988;20558726;20800578;28689659;12808109;16108830;11707390;17962807	HPRD;BioGRID;Macrophage;InnateDB	SignaLink3	SPIKE;Signor			SPIKE;Signor		PPI
Q9WTK5	Nfkb2	Q8BG32	Psmd11	HPRD;InnateDB;SignaLink3;IntAct	12185077;14743216	HPRD;InnateDB;IntAct	SignaLink3						PPI
Q9WTK5	Nfkb2	O54910	Nfkbie	SignaLink3;CancerCellMap;HPRD;BioGRID;InnateDB;IntAct	9135156;9315679;14743216	CancerCellMap;HPRD;BioGRID;InnateDB;IntAct	SignaLink3						PPI
Q9WTK5	Nfkb2	O88502	Pde8a	InnateDB;SignaLink3	15596729	InnateDB		SignaLink3					PPI
Q9WTK5	Nfkb2	Q9Z2S7	Tsc22d3	HPRD;BioGRID;Signor	11468175	HPRD;BioGRID		Signor				Signor	PPI
Q9WTK5	Nfkb2	Q8VCR8	Mylk2	IntAct;PhosphoPoint	14743216	IntAct		PhosphoPoint					PPI
Q78KK3	Slc22a18	O89090	Sp1	SPIKE	18996451			SPIKE			SPIKE		PPI
Q60765	Atf3	Q8BUN5	Smad3	HPRD;BioGRID	12718878;20930144	HPRD;BioGRID		ACSN					PPI
Q60765	Atf3	P02340	Tp53	HPRD;BioGRID;SPIKE;IntAct	15933712;18431400;16169070;11792711;24554706	HPRD;BioGRID;IntAct	SPIKE	SPIKE		SPIKE	SPIKE		PPI
Q60765	Atf3	P05627	Jun	HPRD;BioGRID;DIP;IntAct	14667575;8622660;1827203;20304822;23661758;26496610;25609649;10327051;20102225;8649793	HPRD;BioGRID;DIP;IntAct							PPI
Q60765	Atf3	P16951	Atf2	BioGRID;SPIKE;IntAct	12833146;20211142;23661758;20102225	BioGRID;IntAct		SPIKE			SPIKE		PPI
Q60765	Atf3	Q06507	Atf4	BioGRID;DIP;IntAct	19164757;23661758;20102225	BioGRID;DIP;IntAct							PPI
Q60765	Atf3	P23804	Mdm2	BioGRID	15933712;20592017	BioGRID							PPI
Q60765	Atf3	P52946	Pdx1	BioGRID	21986529	BioGRID							PPI
Q9JK91	Mlh1	Q9Z0F6	Rad9a	HPRD	18842633	HPRD							PPI
Q9JK91	Mlh1	P02340	Tp53	SPIKE	15781865			SPIKE			SPIKE		PPI
Q9JK91	Mlh1	O88700	Blm	HPRD;BioGRID;SPIKE	16876111;10783165;11325959;11470874;11691925;19015241;12724401	HPRD;BioGRID;SPIKE							PPI
Q9JK91	Mlh1	P70677	Casp3	HPRD;IntAct	25241761;15087450	HPRD;IntAct							PPI
Q9JK91	Mlh1	Q9Z2D7	Mbd4	HPRD;BioGRID	10097147;25358258	HPRD;BioGRID	ACSN						PPI
Q9JK91	Mlh1	Q99MT2	Msh4	HPRD;BioGRID	10928988	HPRD;BioGRID							PPI
Q9JIF0	Prmt1	Q61216	Mre11	SPIKE	15741314		SPIKE		SPIKE				PPI
Q9JIF0	Prmt1	P15655	Fgf2	HPRD	10652299	HPRD							PPI
Q9JIF0	Prmt1	P33896	Ifnar1	HPRD;BioGRID;SignaLink3;InnateDB	9029147	HPRD;BioGRID;InnateDB		SignaLink3					PPI
Q9JIF0	Prmt1	P48754	Brca1	BioGRID	20614009;26831064	BioGRID							PPI
Q9JIF0	Prmt1	O88907	Pias1	InnateDB;SignaLink3	19136629	InnateDB	SignaLink3	SignaLink3					PPI
Q9JIF0	Prmt1	O70133	Dhx9	HPRD;BioGRID;IntAct	15084609;11850402	HPRD;BioGRID;IntAct							PPI
Q9JIF0	Prmt1	O88569	Hnrnpa2b1	HPRD-phos	12509629;15782174;10772824		HPRD-phos						PPI
Q9JIF0	Prmt1	Q60749	Khdrbs1	HPRD;BioGRID;HPRD-phos;IntAct	12529443;15782174;19596784;17891136;17264152;10748127	HPRD;BioGRID;IntAct	HPRD-phos						PPI
Q9JIF0	Prmt1	Q9Z1X4	Ilf3	HPRD;BioGRID;IntAct	10749851;11850402	HPRD;BioGRID;IntAct							PPI
Q9JIF0	Prmt1	P49698	Hnf4a	BioGRID	17052457	BioGRID							PPI
Q9JIF0	Prmt1	A2A5Z6	Smurf2	BioGRID	26126536	BioGRID							PPI
Q9JIF0	Prmt1	P04370	Mbp	HPRD	4924231	HPRD							PPI
Q9JIF0	Prmt1	P53996	Cnbp	Signor;IntAct	24726729	IntAct	Signor			Signor			PPI
Q9JIF0	Prmt1	O55201	Supt5h	HPRD;BioGRID;HPRD-phos	12718890	HPRD;BioGRID	HPRD-phos						PPI
Q9JIF0	Prmt1	P62325	Btg1	HPRD;BioGRID	8663146;11856371;14734530	HPRD;BioGRID							PPI
Q9JIF0	Prmt1	Q6PAK3	Prmt8	HPRD;BioGRID;IntAct	16051612;23455924;25416956;26186194;28514442	HPRD;BioGRID;IntAct							PPI
P70166	Cpeb1	P97477	Aurka	SPIKE	15630414			SPIKE			SPIKE		PPI
P70166	Cpeb1	Q9QUR7	Pin1	BioGRID	26456073	BioGRID							PPI
Q9QYY0	Gab1	P15208	Insr	HPRD-phos;phosphoELM;PhosphoSite_noref;HPRD;PhosphoSite;Li2012;MIMP;PhosphoPoint	10978177;19881549;11323411;9890893;26929352;16497976;17389395;20068231;10734310;17016520;18669648;9658397	HPRD		HPRD-phos;phosphoELM;PhosphoSite_noref;PhosphoSite;Li2012;PhosphoPoint;PhosphoSite_dir;MIMP					PPI
Q9QYY0	Gab1	P42337	Pik3ca	CA1;Signor;CancerCellMap	8596638;11043767	CancerCellMap	CA1;Signor;KEGG	ACSN	CA1;Signor;KEGG				PPI
Q9QYY0	Gab1	Q64010	Crk	HPRD;Li2012;IntAct	24728074;12138161	HPRD;IntAct	Li2012;KEGG		KEGG				PPI
Q9QYY0	Gab1	P05622	Pdgfrb	HPRD;PhosphoPoint	14973141	HPRD		ACSN;PhosphoPoint					PPI
Q9QYY0	Gab1	P35235	Ptpn11	HPRD-phos;CA1;BioGRID;InnateDB;Signor;SignaLink3;DEPOD;CancerCellMap;HPRD;IntAct	11027663;11779868;10068651;14701753;11323411;11453982;12582165;11134009;11940581;9658397;9804835;12808090;15273746;14982882;25159185;20473329;10788507;8596638;12855672;20308328;15574420;24728074;10871282	CancerCellMap;HPRD;BioGRID;InnateDB;IntAct	SignaLink3;KEGG	HPRD-phos;SignaLink3;DEPOD;CA1;Signor	SignaLink3;KEGG			CA1;SignaLink3;Signor	PPI
Q9QYY0	Gab1	P63085	Mapk1	PhosphoNetworks;phosphoELM;HPRD;PhosphoSite;MIMP;ELM;PhosphoPoint	15379552;26538579	HPRD;ELM		PhosphoNetworks;PhosphoSite_dir;phosphoELM;PhosphoSite;MIMP;PhosphoPoint					PPI
Q9QYY0	Gab1	Q62245	Sos1	HPRD;IntAct	23397142;11707404	HPRD;IntAct	KEGG	ACSN	KEGG				PPI
Q9QYY0	Gab1	P35546	Ret	HPRD;PhosphoPoint	11360177	HPRD		PhosphoPoint					PPI
Q9QYY0	Gab1	Q63844	Mapk3	HPRD;MIMP;PhosphoPoint	15379552	HPRD		MIMP;PhosphoPoint					PPI
Q9QYY0	Gab1	O89100	Grap2	HPRD;BioGRID;IntAct	9878555;12176364;26186194;28514442;24728074;10913131;12773374	HPRD;BioGRID;IntAct							PPI
Q9QYY0	Gab1	Q62190	Mst1r	HPRD;BioGRID;PhosphoPoint	14982882	HPRD;BioGRID		PhosphoPoint					PPI
Q9QYY0	Gab1	Q811P8	Arhgap32	SignaLink3;IntAct;Signor	12819203	IntAct	SignaLink3;Signor		SignaLink3;Signor				PPI
Q9QYY0	Gab1	Q8BTI9	Pik3cb	CancerCellMap	8596638	CancerCellMap		ACSN					PPI
Q9QYY0	Gab1	O08908	Pik3r2	IntAct;CancerCellMap	8596638;24728074	IntAct;CancerCellMap		ACSN					PPI
Q9QYY0	Gab1	P97504	Bmx	PhosphoPoint				PhosphoPoint					PPI
Q9QYY0	Gab1	Q64143	Pik3r3	IntAct;CancerCellMap	8596638;24728074	IntAct;CancerCellMap		ACSN					PPI
Q9QYY0	Gab1	Q9JHG7	Pik3cg	HPRD;CancerCellMap	8596638;10871282	HPRD;CancerCellMap		ACSN					PPI
Q9QYY0	Gab1	Q8C180	Frs2	HPRD	11353842	HPRD							PPI
Q9QYY0	Gab1	Q6P5G0	Mapk4	HPRD;PhosphoPoint	12008033	HPRD		PhosphoPoint					PPI
Q9ESZ8	Gtf2i	Q61069	Usf1	HPRD;BioGRID	9384587;1961251;16943425;21653943	HPRD;BioGRID							PPI
Q9ESZ8	Gtf2i	Q62120	Jak2	HPRD;HPRD-phos;MIMP;PhosphoPoint	9012831;11373296;11313464;9837922;11934902	HPRD		HPRD-phos;MIMP;PhosphoPoint					PPI
Q9ESZ8	Gtf2i	P63085	Mapk1	Signor;MIMP	10648599			Signor;MIMP			Signor		PPI
Q9ESZ8	Gtf2i	P48754	Brca1	BioGRID;IntAct	21407215	BioGRID;IntAct							PPI
Q9ESZ8	Gtf2i	Q63844	Mapk3	MIMP;PhosphoSite_noref;HPRD;BioGRID;PhosphoSite;Signor;PhosphoPoint	10648599	HPRD;BioGRID		PhosphoSite_dir;MIMP;PhosphoSite_noref;PhosphoSite;Signor;PhosphoPoint			Signor		PPI
Q9ESZ8	Gtf2i	P23804	Mdm2	BioGRID	24147044;24798327;26656605	BioGRID							PPI
Q9ESZ8	Gtf2i	P63013	Prrx1	HPRD;Signor	9334314	HPRD	Signor		Signor				PPI
Q9ESZ8	Gtf2i	Q922K9	Frk	PhosphoNetworks				PhosphoNetworks					PPI
Q99MR9	Ppp1r3a	P18654	Rps6ka3	PhosphoSite;MIMP;PhosphoSite_noref	10748124			PhosphoSite_dir;PhosphoSite;PhosphoSite_noref;MIMP					PPI
Q99MR9	Ppp1r3a	P62137	Ppp1ca	LMPID	9155014	LMPID	ACSN						PPI
Q99MR9	Ppp1r3a	P18653	Rps6ka1	PhosphoNetworks;HPRD-phos;phosphoELM;HPRD;MIMP;PhosphoPoint	2152882;10648825	HPRD		PhosphoNetworks;HPRD-phos;phosphoELM;MIMP;PhosphoPoint					PPI
Q99MR9	Ppp1r3a	Q9Z1E4	Gys1	SPIKE;Signor	15632169;8250835		SPIKE;Signor		SPIKE;Signor				PPI
Q99MR9	Ppp1r3a	Q922R0	Prkx	MIMP				MIMP					PPI
O35426	Xbp1	Q61221	Hif1a	IntAct	24670641	IntAct							PPI
O35426	Xbp1	P19785	Esr1	HPRD;BioGRID;SPIKE	14605097;12047351;12954762	HPRD;BioGRID		SPIKE			SPIKE		PPI
O35426	Xbp1	P63085	Mapk1	PhosphoSite	23277279			PhosphoSite_dir;PhosphoSite					PPI
O35426	Xbp1	P63280	Ube2i	BioGRID	23470653	BioGRID							PPI
O35426	Xbp1	Q63844	Mapk3	PhosphoSite_noref				PhosphoSite_dir;PhosphoSite_noref					PPI
Q60949	Tbc1d1	P31750	Akt1	SPIKE;MIMP;PhosphoSite_noref	17274760			PhosphoSite_dir;PhosphoSite_noref;SPIKE;MIMP				SPIKE	PPI
Q60949	Tbc1d1	Q5EG47	Prkaa1	PhosphoSite;Signor;MIMP	17995453			PhosphoSite_dir;PhosphoSite;MIMP;Signor				Signor	PPI
P16858	Gapdh	P28652	Camk2b	HPRD;PhosphoPoint	15199064	HPRD		PhosphoPoint					PPI
P16858	Gapdh	P58801	Ripk2	IntAct;PhosphoPoint	14743216	IntAct		PhosphoPoint					PPI
P16858	Gapdh	Q9WUN2	Tbk1	IntAct;PhosphoPoint	14743216	IntAct		PhosphoPoint					PPI
P16858	Gapdh	Q9WVS6	Prkn	BioGRID	18362144;24244333	BioGRID							PPI
P16858	Gapdh	P31750	Akt1	BioGRID	20488185	BioGRID							PPI
P16858	Gapdh	P22387	Edn1	SPIKE	18809573		SPIKE			SPIKE			PPI
P16858	Gapdh	B2RWS6	Ep300	SignaLink3	15494311		SignaLink3						PPI
P16858	Gapdh	Q9WUL6	Map3k14	IntAct;PhosphoPoint	14743216	IntAct		PhosphoPoint					PPI
P16858	Gapdh	Q6P5F9	Xpo1	InnateDB	14617633	InnateDB							PPI
P16858	Gapdh	P28867	Prkcd	PhosphoSite	27129213;23653351			PhosphoSite_dir;PhosphoSite					PPI
P16858	Gapdh	P17809	Slc2a1	HPRD	2394733	HPRD							PPI
P16858	Gapdh	Q9QVP9	Ptk2b	PhosphoNetworks				PhosphoNetworks					PPI
P16858	Gapdh	Q5EG47	Prkaa1	PhosphoSite	26626483;18183946			PhosphoSite_dir;PhosphoSite					PPI
P16858	Gapdh	P97813	Pld2	HPRD;BioGRID	12753082	HPRD;BioGRID							PPI
P16858	Gapdh	P51437	Camp	InnateDB	19605696	InnateDB							PPI
P16858	Gapdh	P09411	Pgk1	HPRD;BioGRID;IntAct	22939629;26344197;9308888;20392205;8075252	HPRD;BioGRID;IntAct							PPI
P16858	Gapdh	Q91YS8	Camk1	HPRD;PhosphoPoint	15680915	HPRD		PhosphoPoint					PPI
P16858	Gapdh	D3Z6P0	Pdia2	HPRD	11488911	HPRD							PPI
P16858	Gapdh	P53994	Rab2a	HPRD;InnateDB	15485821	HPRD;InnateDB							PPI
P16858	Gapdh	Q9QUR6	Prep	IntAct	23348613	IntAct							PPI
P16858	Gapdh	P56380	Nudt2	InnateDB	7626640	InnateDB							PPI
P16858	Gapdh	Q8CFE4	Scyl2	PhosphoNetworks				PhosphoNetworks					PPI
Q99N57	Raf1	Q8BGD9	Eif4b	PhosphoNetworks			PhosphoNetworks						PPI
Q99N57	Raf1	P15208	Insr	HPRD;PhosphoPoint	11409918	HPRD		PhosphoPoint					PPI
Q99N57	Raf1	Q01341	Adcy6	HPRD;PhosphoPoint	15470083	HPRD	PhosphoPoint						PPI
Q99N57	Raf1	P10417	Bcl2	SignaLink3;HPRD;BioGRID;InnateDB;PhosphoPoint	8929532;15849194;12488548;8910675	HPRD;BioGRID;InnateDB	SignaLink3;PhosphoPoint	ACSN					PPI
